ポケモン名,タイプ1,タイプ2,H,A,B,C,D,S,とくせい1,とくせい2,とくせい3,ポケ徹ID,ポケ徹リンク種別
スコルピ,どく,むし,40,50,90,30,55,65,カブトアーマー,スナイパー,するどいめ,n451,exact
ドラピオン,どく,あく,70,90,110,60,75,95,カブトアーマー,スナイパー,するどいめ,n452,exact
グレッグル,どく,かくとう,48,61,40,61,40,50,きけんよち,かんそうはだ,どくしゅ,n453,exact
ドクロッグ,どく,かくとう,83,106,65,86,65,85,きけんよち,かんそうはだ,どくしゅ,n454,exact
マスキッパ,くさ,,74,100,72,90,72,46,ふゆう,,,n455,exact
ケイコウオ,みず,,49,49,56,49,61,66,すいすい,よびみず,みずのベール,n456,exact
ネオラント,みず,,69,69,76,69,86,91,すいすい,よびみず,みずのベール,n457,exact
ユキカブリ,くさ,こおり,60,62,50,62,60,40,ゆきふらし,ぼうおん,,n459,exact
ユキノオー,くさ,こおり,90,92,75,92,85,60,ゆきふらし,ぼうおん,,n460,exact
メガユキノオー,くさ,こおり,90,132,105,132,105,30,ゆきふらし,,,n460m,exact
ロトム,でんき,ゴースト,50,50,77,95,77,91,ふゆう,,,n479,exact
ヒートロトム,でんき,ほのお,50,65,107,105,107,86,ふゆう,,,n479h,exact
ウォッシュロトム,でんき,みず,50,65,107,105,107,86,ふゆう,,,n479w,exact
フロストロトム,でんき,こおり,50,65,107,105,107,86,ふゆう,,,n479f,exact
スピンロトム,でんき,ひこう,50,65,107,105,107,86,ふゆう,,,n479s,exact
カットロトム,でんき,くさ,50,65,107,105,107,86,ふゆう,,,n479c,exact
ユクシー,エスパー,,75,75,130,75,130,95,ふゆう,,,n480,exact
エムリット,エスパー,,80,105,105,105,105,80,ふゆう,,,n481,exact
アグノム,エスパー,,75,125,70,125,70,115,ふゆう,,,n482,exact
ディアルガ,はがね,ドラゴン,100,120,120,150,100,90,プレッシャー,テレパシー,,n483,exact
パルキア,みず,ドラゴン,90,120,100,150,120,100,プレッシャー,テレパシー,,n484,exact
ヒードラン,ほのお,はがね,91,90,106,130,106,77,もらいび,ほのおのからだ,,n485,exact
レジギガス,ノーマル,,110,160,110,80,110,100,スロースタート,,,n486,exact
ギラティナ,ゴースト,ドラゴン,150,100,120,100,120,90,プレッシャー,テレパシー,,n487,exact
ギラティナ(オリジン),ゴースト,ドラゴン,150,120,100,120,100,90,ふゆう,,,n487o,exact
クレセリア,エスパー,,120,70,110,75,120,85,ふゆう,,,n488,exact
フィオネ,みず,,80,80,80,80,80,80,うるおいボディ,,,n489,exact
マナフィ,みず,,100,100,100,100,100,100,うるおいボディ,,,n490,exact
ダークライ,あく,,70,90,90,135,90,125,ナイトメア,,,n491,exact
シェイミ,くさ,,100,100,100,100,100,100,しぜんかいふく,,,n492,exact
シェイミ(スカイ),くさ,ひこう,100,103,75,120,75,127,てんのめぐみ,,,n492s,exact
アルセウス,ノーマル,,120,120,120,120,120,120,マルチタイプ,,,n493,exact
ビクティニ,エスパー,ほのお,100,100,100,100,100,100,しょうりのほし,,,n494,exact
ツタージャ,くさ,,45,45,55,45,55,63,しんりょく,あまのじゃく,,n495,exact
ジャノビー,くさ,,60,60,75,60,75,83,しんりょく,あまのじゃく,,n496,exact
ジャローダ,くさ,,75,75,95,75,95,113,しんりょく,あまのじゃく,,n497,exact
ポカブ,ほのお,,65,63,45,45,45,45,もうか,あついしぼう,,n498,exact
チャオブー,ほのお,かくとう,90,93,55,70,55,55,もうか,あついしぼう,,n499,exact
エンブオー,ほのお,かくとう,110,123,65,100,65,65,もうか,すてみ,,n500,exact
ミジュマル,みず,,55,55,45,63,45,45,げきりゅう,シェルアーマー,,n501,exact
フタチマル,みず,,75,75,60,83,60,60,げきりゅう,シェルアーマー,,n502,exact
ダイケンキ,みず,,95,100,85,108,70,70,げきりゅう,シェルアーマー,,n503,exact
ミネズミ,ノーマル,,45,55,39,35,39,42,にげあし,するどいめ,アナライズ,n504,exact
ミルホッグ,ノーマル,,60,85,69,60,69,77,はっこう,するどいめ,アナライズ,n505,exact
ヨーテリー,ノーマル,,45,60,45,25,45,55,やるき,ものひろい,にげあし,n506,exact
ハーデリア,ノーマル,,65,80,65,35,65,60,いかく,すなかき,きもったま,n507,exact
ムーランド,ノーマル,,85,110,90,45,90,80,いかく,すなかき,きもったま,n508,exact
チョロネコ,あく,,41,50,37,50,37,66,じゅうなん,かるわざ,いたずらごころ,n509,exact
レパルダス,あく,,64,88,50,88,50,106,じゅうなん,かるわざ,いたずらごころ,n510,exact
ヤナップ,くさ,,50,53,48,53,48,64,くいしんぼう,しんりょく,,n511,exact
ヤナッキー,くさ,,75,98,63,98,63,101,くいしんぼう,しんりょく,,n512,exact
バオップ,ほのお,,50,53,48,53,48,64,くいしんぼう,もうか,,n513,exact
バオッキー,ほのお,,75,98,63,98,63,101,くいしんぼう,もうか,,n514,exact
ヒヤップ,みず,,50,53,48,53,48,64,くいしんぼう,げきりゅう,,n515,exact
ヒヤッキー,みず,,75,98,63,98,63,101,くいしんぼう,げきりゅう,,n516,exact
ムンナ,エスパー,,76,25,45,67,55,24,よちむ,シンクロ,テレパシー,n517,exact
ムシャーナ,エスパー,,116,55,85,107,95,29,よちむ,シンクロ,テレパシー,n518,exact
マメパト,ノーマル,ひこう,50,55,50,36,30,43,はとむね,きょううん,とうそうしん,n519,exact
ハトーボー,ノーマル,ひこう,62,77,62,50,42,65,はとむね,きょううん,とうそうしん,n520,exact
ケンホロウ,ノーマル,ひこう,80,115,80,65,55,93,はとむね,きょううん,とうそうしん,n521,exact
シママ,でんき,,45,60,32,50,32,76,ひらいしん,でんきエンジン,そうしょく,n522,exact
ゼブライカ,でんき,,75,100,63,80,63,116,ひらいしん,でんきエンジン,そうしょく,n523,exact
ダンゴロ,いわ,,55,75,85,25,25,15,がんじょう,くだけるよろい,すなのちから,n524,exact
ガントル,いわ,,70,105,105,50,40,20,がんじょう,くだけるよろい,すなのちから,n525,exact
ギガイアス,いわ,,85,135,130,60,80,25,がんじょう,すなおこし,すなのちから,n526,exact
コロモリ,エスパー,ひこう,65,45,43,55,43,72,てんねん,ぶきよう,たんじゅん,n527,exact
ココロモリ,エスパー,ひこう,67,57,55,77,55,114,てんねん,ぶきよう,たんじゅん,n528,exact
モグリュー,じめん,,60,85,40,30,45,68,すなかき,すなのちから,かたやぶり,n529,exact
ドリュウズ,じめん,はがね,110,135,60,50,65,88,すなかき,すなのちから,かたやぶり,n530,exact
タブンネ,ノーマル,,103,60,86,60,86,50,いやしのこころ,さいせいりょく,ぶきよう,n531,exact
メガタブンネ,ノーマル,フェアリー,103,60,126,80,126,50,いやしのこころ,,,n531m,exact
ドッコラー,かくとう,,75,80,55,25,35,35,こんじょう,ちからずく,てつのこぶし,n532,exact
ドテッコツ,かくとう,,85,105,85,40,50,40,こんじょう,ちからずく,てつのこぶし,n533,exact
ローブシン,かくとう,,105,140,95,55,65,45,こんじょう,ちからずく,てつのこぶし,n534,exact
オタマロ,みず,,50,50,40,50,40,64,すいすい,うるおいボディ,ちょすい,n535,exact
ガマガル,みず,じめん,75,65,55,65,55,69,すいすい,うるおいボディ,ちょすい,n536,exact
ガマゲロゲ,みず,じめん,105,95,75,85,75,74,すいすい,どくしゅ,ちょすい,n537,exact
ナゲキ,かくとう,,120,100,85,30,85,45,こんじょう,せいしんりょく,かたやぶり,n538,exact
ダゲキ,かくとう,,75,125,75,30,75,85,がんじょう,せいしんりょく,かたやぶり,n539,exact
クルミル,むし,くさ,45,53,70,40,60,42,むしのしらせ,ようりょくそ,ぼうじん,n540,exact
クルマユ,むし,くさ,55,63,90,50,80,42,リーフガード,ようりょくそ,ぼうじん,n541,exact
ハハコモリ,むし,くさ,75,103,80,70,80,92,むしのしらせ,ようりょくそ,ぼうじん,n542,exact
フシデ,むし,どく,30,45,59,30,39,57,どくのトゲ,むしのしらせ,かそく,n543,exact
ホイーガ,むし,どく,40,55,99,40,79,47,どくのトゲ,むしのしらせ,かそく,n544,exact
ペンドラー,むし,どく,60,100,89,55,69,112,どくのトゲ,むしのしらせ,かそく,n545,exact
モンメン,くさ,フェアリー,40,27,60,37,50,66,いたずらごころ,すりぬけ,ようりょくそ,n546,exact
エルフーン,くさ,フェアリー,60,67,85,77,75,116,いたずらごころ,すりぬけ,ようりょくそ,n547,exact
チュリネ,くさ,,45,35,50,70,50,30,ようりょくそ,マイペース,リーフガード,n548,exact
ドレディア,くさ,,70,60,75,110,75,90,ようりょくそ,マイペース,リーフガード,n549,exact
バスラオ,みず,,70,92,65,80,55,98,すてみ,てきおうりょく,かたやぶり,n550,exact
バスラオ(あおすじ),みず,,70,92,65,80,55,98,いしあたま,てきおうりょく,かたやぶり,n550f,exact
メグロコ,じめん,あく,50,72,35,35,35,65,いかく,じしんかじょう,いかりのつぼ,n551,exact
ワルビル,じめん,あく,60,82,45,45,45,74,いかく,じしんかじょう,いかりのつぼ,n552,exact
ワルビアル,じめん,あく,95,117,80,65,70,92,いかく,じしんかじょう,いかりのつぼ,n553,exact
ダルマッカ,ほのお,,70,90,45,15,45,50,はりきり,せいしんりょく,,n554,exact
ダルマッカ(ガラル),こおり,,70,90,45,15,45,50,はりきり,せいしんりょく,,n554g,exact
ヒヒダルマ,ほのお,,105,140,55,30,55,95,ちからずく,ダルマモード,,n555,exact
ヒヒダルマ(ダルマ),ほのお,エスパー,105,30,105,140,105,55,ちからずく,ダルマモード,,n555f,exact
ヒヒダルマ(ガラル),こおり,,105,140,55,30,55,95,ごりむちゅう,ダルマモード,,n555g,exact
ヒヒダルマ(ガラル・ダルマ),こおり,ほのお,105,160,55,30,55,135,ごりむちゅう,ダルマモード,,n555h,exact
マラカッチ,くさ,,75,86,67,106,67,60,ちょすい,ようりょくそ,よびみず,n556,exact
イシズマイ,むし,いわ,50,65,85,35,35,55,がんじょう,シェルアーマー,くだけるよろい,n557,exact
イワパレス,むし,いわ,70,105,125,65,75,45,がんじょう,シェルアーマー,くだけるよろい,n558,exact
ズルッグ,あく,かくとう,50,75,70,35,70,48,だっぴ,じしんかじょう,いかく,n559,exact
ズルズキン,あく,かくとう,65,90,115,45,115,58,だっぴ,じしんかじょう,いかく,n560,exact
シンボラー,エスパー,ひこう,72,58,80,103,80,97,ミラクルスキン,マジックガード,いろめがね,n561,exact
デスマス,ゴースト,,38,30,85,55,65,30,ミイラ,,,n562,exact
デスマス(ガラル),じめん,ゴースト,38,55,85,30,65,30,さまようたましい,,,n562g,exact
デスカーン,ゴースト,,58,50,145,95,105,30,ミイラ,,,n563,exact
プロトーガ,みず,いわ,54,78,103,53,45,22,ハードロック,がんじょう,すいすい,n564,exact
アバゴーラ,みず,いわ,74,108,133,83,65,32,ハードロック,がんじょう,すいすい,n565,exact
アーケン,いわ,ひこう,55,112,45,74,45,70,よわき,,,n566,exact
アーケオス,いわ,ひこう,75,140,65,112,65,110,よわき,,,n567,exact
ヤブクロン,どく,,50,50,62,40,62,65,あくしゅう,ねんちゃく,ゆうばく,n568,exact
ダストダス,どく,,80,95,82,60,82,75,あくしゅう,くだけるよろい,ゆうばく,n569,exact
ゾロア,あく,,40,65,40,80,40,65,イリュージョン,,,n570,exact
ゾロアーク,あく,,60,105,60,120,60,105,イリュージョン,,,n571,exact
チラーミィ,ノーマル,,55,50,40,40,40,75,メロメロボディ,テクニシャン,スキルリンク,n572,exact
チラチーノ,ノーマル,,75,95,60,65,60,115,メロメロボディ,テクニシャン,スキルリンク,n573,exact
ゴチム,エスパー,,45,30,50,55,65,45,おみとおし,かちき,かげふみ,n574,exact
ゴチミル,エスパー,,60,45,70,75,85,55,おみとおし,かちき,かげふみ,n575,exact
ゴチルゼル,エスパー,,70,55,95,95,110,65,おみとおし,かちき,かげふみ,n576,exact
ユニラン,エスパー,,45,30,40,105,50,20,ぼうじん,マジックガード,さいせいりょく,n577,exact
ダブラン,エスパー,,65,40,50,125,60,30,ぼうじん,マジックガード,さいせいりょく,n578,exact
ランクルス,エスパー,,110,65,75,125,85,30,ぼうじん,マジックガード,さいせいりょく,n579,exact
コアルヒー,みず,ひこう,62,44,50,44,50,55,するどいめ,はとむね,うるおいボディ,n580,exact
スワンナ,みず,ひこう,75,87,63,87,63,98,するどいめ,はとむね,うるおいボディ,n581,exact
バニプッチ,こおり,,36,50,50,65,60,44,アイスボディ,ゆきがくれ,くだけるよろい,n582,exact
バニリッチ,こおり,,51,65,65,80,75,59,アイスボディ,ゆきがくれ,くだけるよろい,n583,exact
バイバニラ,こおり,,71,95,85,110,95,79,アイスボディ,ゆきふらし,くだけるよろい,n584,exact
シキジカ,ノーマル,くさ,60,60,50,40,50,75,ようりょくそ,そうしょく,てんのめぐみ,n585,exact
メブキジカ,ノーマル,くさ,80,100,70,60,70,95,ようりょくそ,そうしょく,てんのめぐみ,n586,exact
エモンガ,でんき,ひこう,55,75,60,75,60,103,せいでんき,でんきエンジン,,n587,exact
カブルモ,むし,,50,75,45,40,45,60,むしのしらせ,だっぴ,ノーガード,n588,exact
シュバルゴ,むし,はがね,70,135,105,60,105,20,むしのしらせ,シェルアーマー,ぼうじん,n589,exact
タマゲタケ,くさ,どく,69,55,45,55,55,15,ほうし,さいせいりょく,,n590,exact
モロバレル,くさ,どく,114,85,70,85,80,30,ほうし,さいせいりょく,,n591,exact
プルリル,みず,ゴースト,55,40,50,65,85,40,ちょすい,のろわれボディ,しめりけ,n592,exact
ブルンゲル,みず,ゴースト,100,60,70,85,105,60,ちょすい,のろわれボディ,しめりけ,n593,exact
ママンボウ,みず,,165,75,80,40,45,65,いやしのこころ,うるおいボディ,さいせいりょく,n594,exact
バチュル,むし,でんき,50,47,50,57,50,65,ふくがん,きんちょうかん,むしのしらせ,n595,exact
デンチュラ,むし,でんき,70,77,60,97,60,108,ふくがん,きんちょうかん,むしのしらせ,n596,exact
テッシード,くさ,はがね,44,50,91,24,86,10,てつのトゲ,,,n597,exact
ナットレイ,くさ,はがね,74,94,131,54,116,20,てつのトゲ,きけんよち,,n598,exact
ギアル,はがね,,40,55,70,45,60,30,プラス,マイナス,クリアボディ,n599,exact
ギギアル,はがね,,60,80,95,70,85,50,プラス,マイナス,クリアボディ,n600,exact
ギギギアル,はがね,,60,100,115,70,85,90,プラス,マイナス,クリアボディ,n601,exact
シビシラス,でんき,,35,55,40,45,40,60,ふゆう,,,n602,exact
シビビール,でんき,,65,85,70,75,70,40,ふゆう,,,n603,exact
シビルドン,でんき,,85,115,80,105,80,50,ふゆう,,,n604,exact
リグレー,エスパー,,55,55,55,85,55,30,テレパシー,シンクロ,アナライズ,n605,exact
オーベム,エスパー,,75,75,75,125,95,40,テレパシー,シンクロ,アナライズ,n606,exact
ヒトモシ,ゴースト,ほのお,50,30,55,65,55,20,もらいび,ほのおのからだ,すりぬけ,n607,exact
ランプラー,ゴースト,ほのお,60,40,60,95,60,55,もらいび,ほのおのからだ,すりぬけ,n608,exact
シャンデラ,ゴースト,ほのお,60,55,90,145,90,80,もらいび,ほのおのからだ,すりぬけ,n609,exact
キバゴ,ドラゴン,,46,87,60,30,40,57,とうそうしん,かたやぶり,きんちょうかん,n610,exact
オノンド,ドラゴン,,66,117,70,40,50,67,とうそうしん,かたやぶり,きんちょうかん,n611,exact
オノノクス,ドラゴン,,76,147,90,60,70,97,とうそうしん,かたやぶり,きんちょうかん,n612,exact
クマシュン,こおり,,55,70,40,60,40,40,ゆきがくれ,ゆきかき,びびり,n613,exact
ツンベアー,こおり,,95,130,80,70,80,50,ゆきがくれ,ゆきかき,すいすい,n614,exact
フリージオ,こおり,,80,50,50,95,135,105,ふゆう,,,n615,exact
チョボマキ,むし,,50,40,85,40,65,25,うるおいボディ,シェルアーマー,ぼうじん,n616,exact
アギルダー,むし,,80,70,40,100,60,145,うるおいボディ,ねんちゃく,かるわざ,n617,exact
マッギョ,じめん,でんき,109,66,84,81,99,32,せいでんき,じゅうなん,すながくれ,n618,exact
マッギョ(ガラル),じめん,はがね,109,81,99,66,84,32,ぎたい,,,n618g,exact
コジョフー,かくとう,,45,85,50,55,50,65,せいしんりょく,さいせいりょく,すてみ,n619,exact
コジョンド,かくとう,,65,125,60,95,60,105,せいしんりょく,さいせいりょく,すてみ,n620,exact
クリムガン,ドラゴン,,77,120,90,60,90,48,さめはだ,ちからずく,かたやぶり,n621,exact
ゴビット,じめん,ゴースト,59,74,50,35,50,35,てつのこぶし,ぶきよう,ノーガード,n622,exact
ゴルーグ,じめん,ゴースト,89,124,80,55,80,55,てつのこぶし,ぶきよう,ノーガード,n623,exact
コマタナ,あく,はがね,45,85,70,40,40,60,まけんき,せいしんりょく,プレッシャー,n624,exact
キリキザン,あく,はがね,65,125,100,60,70,70,まけんき,せいしんりょく,プレッシャー,n625,exact
バッフロン,ノーマル,,95,110,95,40,95,55,すてみ,そうしょく,ぼうおん,n626,exact
ワシボン,ノーマル,ひこう,70,83,50,37,50,60,するどいめ,ちからずく,はりきり,n627,exact
ウォーグル,ノーマル,ひこう,100,123,75,57,75,80,するどいめ,ちからずく,まけんき,n628,exact
バルチャイ,あく,ひこう,70,55,75,45,65,60,はとむね,ぼうじん,くだけるよろい,n629,exact
バルジーナ,あく,ひこう,110,65,105,55,95,80,はとむね,ぼうじん,くだけるよろい,n630,exact
クイタラン,ほのお,,85,97,66,105,66,65,くいしんぼう,もらいび,しろいけむり,n631,exact
アイアント,むし,はがね,58,109,112,48,48,109,むしのしらせ,はりきり,なまけ,n632,exact
モノズ,あく,ドラゴン,52,65,50,45,50,38,はりきり,,,n633,exact
ジヘッド,あく,ドラゴン,72,85,70,65,70,58,はりきり,,,n634,exact
サザンドラ,あく,ドラゴン,92,105,90,125,90,98,ふゆう,,,n635,exact
メラルバ,むし,ほのお,55,85,55,50,55,60,ほのおのからだ,むしのしらせ,,n636,exact
ウルガモス,むし,ほのお,85,60,65,135,105,100,ほのおのからだ,むしのしらせ,,n637,exact
コバルオン,はがね,かくとう,91,90,129,90,72,108,せいぎのこころ,,,n638,exact
テラキオン,いわ,かくとう,91,129,90,72,90,108,せいぎのこころ,,,n639,exact
ビリジオン,くさ,かくとう,91,90,72,90,129,108,せいぎのこころ,,,n640,exact
トルネロス,ひこう,,79,115,70,125,80,111,いたずらごころ,まけんき,,n641,exact
トルネロス(れいじゅう),ひこう,,79,100,80,110,90,121,さいせいりょく,,,n641a,exact
ボルトロス,でんき,ひこう,79,115,70,125,80,111,いたずらごころ,まけんき,,n642,exact
ボルトロス(れいじゅう),でんき,ひこう,79,105,70,145,80,101,ちくでん,,,n642a,exact
レシラム,ドラゴン,ほのお,100,120,100,150,120,90,ターボブレイズ,,,n643,exact
ゼクロム,ドラゴン,でんき,100,150,120,120,100,90,テラボルテージ,,,n644,exact
ランドロス,じめん,ひこう,89,125,90,115,80,101,すなのちから,ちからずく,,n645,exact
ランドロス(れいじゅう),じめん,ひこう,89,145,90,105,80,91,いかく,,,n645a,exact
キュレム,ドラゴン,こおり,125,130,90,130,90,95,プレッシャー,,,n646,exact
ホワイトキュレム,ドラゴン,こおり,125,120,90,170,100,95,ターボブレイズ,,,n646w,exact
ブラックキュレム,ドラゴン,こおり,125,170,100,120,90,95,テラボルテージ,,,n646b,exact
ケルディオ,みず,かくとう,91,72,90,129,90,108,せいぎのこころ,,,n647,exact
ケルディオ(かくご),みず,かくとう,91,72,90,129,90,108,せいぎのこころ,,,n647k,exact
メロエッタ,ノーマル,エスパー,100,77,77,128,128,90,てんのめぐみ,,,n648,exact
メロエッタ(ステップ),ノーマル,かくとう,100,128,90,77,77,128,てんのめぐみ,,,n648f,exact
ゲノセクト,むし,はがね,71,120,95,120,95,99,ダウンロード,,,n649,exact
ハリマロン,くさ,,56,61,65,48,45,38,しんりょく,ぼうだん,,n650,exact
ハリボーグ,くさ,,61,78,95,56,58,57,しんりょく,ぼうだん,,n651,exact
ブリガロン,くさ,かくとう,88,107,122,74,75,64,しんりょく,ぼうだん,,n652,exact
フォッコ,ほのお,,40,45,40,62,60,60,もうか,マジシャン,,n653,exact
テールナー,ほのお,,59,59,58,90,70,73,もうか,マジシャン,,n654,exact
マフォクシー,ほのお,エスパー,75,69,72,114,100,104,もうか,マジシャン,,n655,exact
ケロマツ,みず,,41,56,40,62,44,71,げきりゅう,へんげんじざい,,n656,exact
ゲコガシラ,みず,,54,63,52,83,56,97,げきりゅう,へんげんじざい,,n657,exact
ゲッコウガ,みず,あく,72,95,67,103,71,122,げきりゅう,へんげんじざい,,n658,exact
ゲッコウガ(きずなへんげ),みず,あく,72,95,67,103,71,122,きずなへんげ,,,n658,species
サトシゲッコウガ,みず,あく,72,145,67,153,71,132,きずなへんげ,,,n658f,exact
ホルビー,ノーマル,,38,36,38,32,36,57,ものひろい,ほおぶくろ,ちからもち,n659,exact
ホルード,ノーマル,じめん,85,56,77,50,77,78,ものひろい,ほおぶくろ,ちからもち,n660,exact
ヤヤコマ,ノーマル,ひこう,45,50,43,40,38,62,はとむね,はやてのつばさ,,n661,exact
ヒノヤコマ,ほのお,ひこう,62,73,55,56,52,84,ほのおのからだ,はやてのつばさ,,n662,exact
ファイアロー,ほのお,ひこう,78,81,71,74,69,126,ほのおのからだ,はやてのつばさ,,n663,exact
コフキムシ,むし,,38,35,40,27,25,35,りんぷん,ふくがん,フレンドガード,n664,exact
コフーライ,むし,,45,22,60,27,30,29,だっぴ,フレンドガード,,n665,exact
ビビヨン,むし,ひこう,80,52,50,90,50,89,りんぷん,ふくがん,フレンドガード,n666,exact
シシコ,ほのお,ノーマル,62,50,58,73,54,72,とうそうしん,きんちょうかん,じしんかじょう,n667,exact
カエンジシ,ほのお,ノーマル,86,68,72,109,66,106,とうそうしん,きんちょうかん,じしんかじょう,n668,exact
フラベベ,フェアリー,,44,38,39,61,79,42,フラワーベール,きょうせい,,n669,exact
フラエッテ,フェアリー,,54,45,47,75,98,52,フラワーベール,きょうせい,,n670,exact
フラエッテ(えいえんのはな),フェアリー,,74,65,67,125,128,92,フラワーベール,きょうせい,,n670,species
フラージェス,フェアリー,,78,65,68,112,154,75,フラワーベール,きょうせい,,n671,exact
メェークル,くさ,,66,65,48,62,57,52,そうしょく,くさのけがわ,,n672,exact
ゴーゴート,くさ,,123,100,62,97,81,68,そうしょく,くさのけがわ,,n673,exact
ヤンチャム,かくとう,,67,82,62,46,48,43,てつのこぶし,かたやぶり,きもったま,n674,exact
ゴロンダ,かくとう,あく,95,124,78,69,71,58,てつのこぶし,かたやぶり,きもったま,n675,exact
トリミアン,ノーマル,,75,80,60,65,90,102,ファーコート,,,n676,exact
ニャスパー,エスパー,,62,48,54,63,60,68,するどいめ,すりぬけ,マイペース,n677,exact
ニャオニクス,エスパー,,74,48,76,83,81,104,するどいめ,すりぬけ,いたずらごころ,n678,exact
ニャオニクス♀,エスパー,,74,48,76,83,81,104,するどいめ,すりぬけ,かちき,n678f,exact
ヒトツキ,はがね,ゴースト,45,80,100,35,37,28,ノーガード,,,n679,exact
ニダンギル,はがね,ゴースト,59,110,150,45,49,35,ノーガード,,,n680,exact
ギルガルド,はがね,ゴースト,60,50,140,50,140,60,バトルスイッチ,,,n681,exact
ギルガルド(ブレード),はがね,ゴースト,60,140,50,140,50,60,バトルスイッチ,,,n681b,exact
シュシュプ,フェアリー,,78,52,60,63,65,23,いやしのこころ,アロマベール,,n682,exact
フレフワン,フェアリー,,101,72,72,99,89,29,いやしのこころ,アロマベール,,n683,exact
ペロッパフ,フェアリー,,62,48,66,59,57,49,スイートベール,かるわざ,,n684,exact
ペロリーム,フェアリー,,82,80,86,85,75,72,スイートベール,かるわざ,,n685,exact
マーイーカ,あく,エスパー,53,54,53,37,46,45,あまのじゃく,きゅうばん,すりぬけ,n686,exact
カラマネロ,あく,エスパー,86,92,88,68,75,73,あまのじゃく,きゅうばん,すりぬけ,n687,exact
カメテテ,いわ,みず,42,52,67,39,56,50,かたいツメ,スナイパー,わるいてぐせ,n688,exact
ガメノデス,いわ,みず,72,105,115,54,86,68,かたいツメ,スナイパー,わるいてぐせ,n689,exact
クズモー,どく,みず,50,60,60,60,60,30,どくのトゲ,どくしゅ,てきおうりょく,n690,exact
ドラミドロ,どく,ドラゴン,65,75,90,97,123,44,どくのトゲ,どくしゅ,てきおうりょく,n691,exact
ウデッポウ,みず,,50,53,62,58,63,44,メガランチャー,,,n692,exact
ブロスター,みず,,71,73,88,120,89,59,メガランチャー,,,n693,exact
エリキテル,でんき,ノーマル,44,38,33,61,43,70,かんそうはだ,すながくれ,サンパワー,n694,exact
エレザード,でんき,ノーマル,62,55,52,109,94,109,かんそうはだ,すながくれ,サンパワー,n695,exact
チゴラス,いわ,ドラゴン,58,89,77,45,45,48,がんじょうあご,がんじょう,,n696,exact
ガチゴラス,いわ,ドラゴン,82,121,119,69,59,71,がんじょうあご,いしあたま,,n697,exact
アマルス,いわ,こおり,77,59,50,67,63,46,フリーズスキン,ゆきふらし,,n698,exact
アマルルガ,いわ,こおり,123,77,72,99,92,58,フリーズスキン,ゆきふらし,,n699,exact
ルチャブル,かくとう,ひこう,78,92,75,74,63,118,じゅうなん,かるわざ,かたやぶり,n701,exact
デデンネ,でんき,フェアリー,67,58,57,81,67,101,ほおぶくろ,ものひろい,プラス,n702,exact
メレシー,いわ,フェアリー,50,50,150,50,150,50,クリアボディ,がんじょう,,n703,exact
ヌメラ,ドラゴン,,45,50,35,55,75,40,そうしょく,うるおいボディ,ぬめぬめ,n704,exact
ヌメイル,ドラゴン,,68,75,53,83,113,60,そうしょく,うるおいボディ,ぬめぬめ,n705,exact
ヌメルゴン,ドラゴン,,90,100,70,110,150,80,そうしょく,うるおいボディ,ぬめぬめ,n706,exact
クレッフィ,はがね,フェアリー,57,80,91,80,87,75,いたずらごころ,マジシャン,,n707,exact
ボクレー,ゴースト,くさ,43,70,48,50,60,38,しぜんかいふく,おみとおし,しゅうかく,n708,exact
オーロット,ゴースト,くさ,85,110,76,65,82,56,しぜんかいふく,おみとおし,しゅうかく,n709,exact
バケッチャ,ゴースト,くさ,49,66,70,44,55,51,ものひろい,おみとおし,ふみん,n710,exact
バケッチャ(ちいさいサイズ),ゴースト,くさ,44,66,70,44,55,56,ものひろい,おみとおし,ふみん,n710s,exact
バケッチャ(おおきいサイズ),ゴースト,くさ,54,66,70,44,55,46,ものひろい,おみとおし,ふみん,n710l,exact
バケッチャ(とくだいサイズ),ゴースト,くさ,59,66,70,44,55,41,ものひろい,おみとおし,ふみん,n710k,exact
パンプジン,ゴースト,くさ,65,90,122,58,75,84,ものひろい,おみとおし,ふみん,n711,exact
パンプジン(ちいさいサイズ),ゴースト,くさ,55,85,122,58,75,99,ものひろい,おみとおし,ふみん,n711s,exact
パンプジン(おおきいサイズ),ゴースト,くさ,75,95,122,58,75,69,ものひろい,おみとおし,ふみん,n711l,exact
パンプジン(とくだいサイズ),ゴースト,くさ,85,100,122,58,75,54,ものひろい,おみとおし,ふみん,n711k,exact
カチコール,こおり,,55,69,85,32,35,28,マイペース,アイスボディ,がんじょう,n712,exact
クレベース,こおり,,95,117,184,44,46,28,マイペース,アイスボディ,がんじょう,n713,exact
オンバット,ひこう,ドラゴン,40,30,35,45,40,55,おみとおし,すりぬけ,テレパシー,n714,exact
オンバーン,ひこう,ドラゴン,85,70,80,97,80,123,おみとおし,すりぬけ,テレパシー,n715,exact
ゼルネアス,フェアリー,,126,131,95,131,98,99,フェアリーオーラ,,,n716,exact
イベルタル,あく,ひこう,126,131,95,131,98,99,ダークオーラ,,,n717,exact
ジガルデ,ドラゴン,じめん,108,100,121,81,95,95,オーラブレイク,,,n718,exact
ジガルデ(10%),ドラゴン,じめん,54,100,71,61,85,115,オーラブレイク,,,n718t,exact
ジガルデ(10%・スワームチェンジ),ドラゴン,じめん,54,100,71,61,85,115,スワームチェンジ,,,n718,species
